idx,L:RFQPAH,L:RFQPAH Timestamp,L:D7TOR,L:D7TOR Timestamp,L:TO3IN,L:TO3IN Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:V5QSET,L:V5QSET Timestamp
28,165.63720703125,2021-11-26 17:42:44.095000+00:00,24.06083161336697,2021-11-26 17:42:44.095000+00:00,25.090917876013183,2021-11-26 17:42:44.095000+00:00,24.556345518033503,2021-11-26 17:42:44.095000+00:00,226.24346923828125,2021-11-26 17:42:44.095000+00:00,26.30011030248779,2021-11-26 17:42:44.095000+00:00,15.31982421875,2021-11-26 17:42:44.095000+00:00,0.30517578125,2021-11-26 17:42:44.095000+00:00,0.250244140625,2021-11-26 17:42:44.095000+00:00,-0.048828125,2021-11-26 17:42:44.095000+00:00,-0.23193359375,2021-11-26 17:42:44.095000+00:00,2.3651123046875,2021-11-26 17:42:44.095000+00:00,1.4617919921875,2021-11-26 17:42:44.095000+00:00,-0.0701904296875,2021-11-26 17:42:44.095000+00:00,0.7293701171875,2021-11-26 17:42:44.095000+00:00,0.225830078125,2021-11-26 17:42:44.095000+00:00,1.7242431640625,2021-11-26 17:42:44.095000+00:00,0.262451171875,2021-11-26 17:42:44.095000+00:00,1.6845703125,2021-11-26 17:42:44.095000+00:00,0.531005859375,2021-11-26 17:42:44.095000+00:00,-0.06103515625,2021-11-26 17:42:44.095000+00:00,-0.018310546875,2021-11-26 17:42:44.095000+00:00,0.2166748046875,2021-11-26 17:42:44.095000+00:00,0.06103515625,2021-11-26 17:42:44.095000+00:00,0.0823974609375,2021-11-26 17:42:44.095000+00:00,0.0762939453125,2021-11-26 17:42:44.095000+00:00,0.59814453125,2021-11-26 17:42:44.095000+00:00,0.89111328125,2021-11-26 17:42:44.095000+00:00,-0.1190185546875,2021-11-26 17:42:44.095000+00:00,0.0152587890625,2021-11-26 17:42:44.095000+00:00,0.3082275390625,2021-11-26 17:42:44.095000+00:00,0.628662109375,2021-11-26 17:42:44.095000+00:00,0.9033203125,2021-11-26 17:42:44.095000+00:00,0.4241943359375,2021-11-26 17:42:44.095000+00:00,0.01220703125,2021-11-26 17:42:44.095000+00:00,0.177001953125,2021-11-26 17:42:44.095000+00:00,-32.29999542236328,2021-11-26 17:42:44.096000+00:00
29,165.63720703125,2021-11-26 17:42:44.162000+00:00,24.11550841794223,2021-11-26 17:42:44.162000+00:00,25.2186653691156,2021-11-26 17:42:44.162000+00:00,24.634633548377927,2021-11-26 17:42:44.162000+00:00,226.1341552734375,2021-11-26 17:42:44.162000+00:00,26.50294693866028,2021-11-26 17:42:44.162000+00:00,16.363525390625,2021-11-26 17:42:44.162000+00:00,0.5767822265625,2021-11-26 17:42:44.162000+00:00,0.274658203125,2021-11-26 17:42:44.162000+00:00,0.1556396484375,2021-11-26 17:42:44.162000+00:00,0.0030517578125,2021-11-26 17:42:44.162000+00:00,2.4444580078125,2021-11-26 17:42:44.162000+00:00,1.6357421875,2021-11-26 17:42:44.162000+00:00,-0.0152587890625,2021-11-26 17:42:44.162000+00:00,0.2655029296875,2021-11-26 17:42:44.162000+00:00,0.10986328125,2021-11-26 17:42:44.162000+00:00,1.8798828125,2021-11-26 17:42:44.162000+00:00,0.2960205078125,2021-11-26 17:42:44.162000+00:00,1.6326904296875,2021-11-26 17:42:44.162000+00:00,0.836181640625,2021-11-26 17:42:44.162000+00:00,-0.4241943359375,2021-11-26 17:42:44.162000+00:00,0.3570556640625,2021-11-26 17:42:44.162000+00:00,0.4547119140625,2021-11-26 17:42:44.162000+00:00,0.0091552734375,2021-11-26 17:42:44.162000+00:00,0.0640869140625,2021-11-26 17:42:44.162000+00:00,-0.0213623046875,2021-11-26 17:42:44.162000+00:00,0.592041015625,2021-11-26 17:42:44.162000+00:00,0.8941650390625,2021-11-26 17:42:44.162000+00:00,0.1007080078125,2021-11-26 17:42:44.162000+00:00,-0.0274658203125,2021-11-26 17:42:44.162000+00:00,0.341796875,2021-11-26 17:42:44.162000+00:00,0.384521484375,2021-11-26 17:42:44.162000+00:00,0.42724609375,2021-11-26 17:42:44.162000+00:00,0.640869140625,2021-11-26 17:42:44.162000+00:00,0.1953125,2021-11-26 17:42:44.162000+00:00,-0.1190185546875,2021-11-26 17:42:44.162000+00:00,-32.29999542236328,2021-11-26 17:42:44.163000+00:00
30,165.63720703125,2021-11-26 17:42:44.229000+00:00,24.24612522887201,2021-11-26 17:42:44.229000+00:00,25.307105941263423,2021-11-26 17:42:44.229000+00:00,24.732877351163083,2021-11-26 17:42:44.229000+00:00,226.02484130859372,2021-11-26 17:42:44.229000+00:00,26.58096102949585,2021-11-26 17:42:44.229000+00:00,14.14794921875,2021-11-26 17:42:44.229000+00:00,0.4730224609375,2021-11-26 17:42:44.229000+00:00,0.3143310546875,2021-11-26 17:42:44.229000+00:00,0.0701904296875,2021-11-26 17:42:44.229000+00:00,0.2166748046875,2021-11-26 17:42:44.229000+00:00,2.2705078125,2021-11-26 17:42:44.229000+00:00,1.79443359375,2021-11-26 17:42:44.229000+00:00,-0.03662109375,2021-11-26 17:42:44.229000+00:00,0.225830078125,2021-11-26 17:42:44.229000+00:00,-0.0396728515625,2021-11-26 17:42:44.229000+00:00,1.3397216796875,2021-11-26 17:42:44.229000+00:00,0.054931640625,2021-11-26 17:42:44.229000+00:00,1.361083984375,2021-11-26 17:42:44.229000+00:00,0.5859375,2021-11-26 17:42:44.229000+00:00,-0.054931640625,2021-11-26 17:42:44.229000+00:00,0.1007080078125,2021-11-26 17:42:44.229000+00:00,0.286865234375,2021-11-26 17:42:44.229000+00:00,0.0152587890625,2021-11-26 17:42:44.229000+00:00,0.1556396484375,2021-11-26 17:42:44.229000+00:00,0.13427734375,2021-11-26 17:42:44.229000+00:00,0.64697265625,2021-11-26 17:42:44.229000+00:00,0.732421875,2021-11-26 17:42:44.229000+00:00,0.048828125,2021-11-26 17:42:44.229000+00:00,0.3570556640625,2021-11-26 17:42:44.229000+00:00,0.37841796875,2021-11-26 17:42:44.229000+00:00,0.4058837890625,2021-11-26 17:42:44.229000+00:00,0.40283203125,2021-11-26 17:42:44.229000+00:00,0.0762939453125,2021-11-26 17:42:44.229000+00:00,0.0244140625,2021-11-26 17:42:44.229000+00:00,0.1312255859375,2021-11-26 17:42:44.229000+00:00,-32.29999542236328,2021-11-26 17:42:44.229000+00:00
31,165.63720703125,2021-11-26 17:42:44.295000+00:00,24.027418010570987,2021-11-26 17:42:44.295000+00:00,25.130224796967774,2021-11-26 17:42:44.295000+00:00,24.540994923848327,2021-11-26 17:42:44.295000+00:00,225.91552734375,2021-11-26 17:42:44.295000+00:00,26.36876270242309,2021-11-26 17:42:44.295000+00:00,14.66064453125,2021-11-26 17:42:44.295000+00:00,0.433349609375,2021-11-26 17:42:44.295000+00:00,0.2288818359375,2021-11-26 17:42:44.295000+00:00,0.067138671875,2021-11-26 17:42:44.295000+00:00,-0.1190185546875,2021-11-26 17:42:44.295000+00:00,2.4505615234375,2021-11-26 17:42:44.295000+00:00,1.5106201171875,2021-11-26 17:42:44.295000+00:00,-0.091552734375,2021-11-26 17:42:44.295000+00:00,0.84228515625,2021-11-26 17:42:44.295000+00:00,0.2227783203125,2021-11-26 17:42:44.295000+00:00,1.6143798828125,2021-11-26 17:42:44.295000+00:00,0.30517578125,2021-11-26 17:42:44.295000+00:00,1.214599609375,2021-11-26 17:42:44.295000+00:00,0.9246826171875,2021-11-26 17:42:44.295000+00:00,0.0732421875,2021-11-26 17:42:44.295000+00:00,0.189208984375,2021-11-26 17:42:44.295000+00:00,0.35400390625,2021-11-26 17:42:44.295000+00:00,0.0823974609375,2021-11-26 17:42:44.295000+00:00,-0.042724609375,2021-11-26 17:42:44.295000+00:00,0.0244140625,2021-11-26 17:42:44.295000+00:00,0.567626953125,2021-11-26 17:42:44.295000+00:00,0.775146484375,2021-11-26 17:42:44.295000+00:00,0.152587890625,2021-11-26 17:42:44.295000+00:00,0.13427734375,2021-11-26 17:42:44.295000+00:00,-0.01220703125,2021-11-26 17:42:44.295000+00:00,0.4302978515625,2021-11-26 17:42:44.295000+00:00,0.08544921875,2021-11-26 17:42:44.295000+00:00,0.2166748046875,2021-11-26 17:42:44.295000+00:00,0.2410888671875,2021-11-26 17:42:44.295000+00:00,0.128173828125,2021-11-26 17:42:44.295000+00:00,-32.29999542236328,2021-11-26 17:42:44.296000+00:00
32,165.63720703125,2021-11-26 17:42:44.362000+00:00,24.224862027092744,2021-11-26 17:42:44.362000+00:00,25.287452480786133,2021-11-26 17:42:44.362000+00:00,24.676080152677915,2021-11-26 17:42:44.362000+00:00,225.80621337890625,2021-11-26 17:42:44.362000+00:00,26.56847877496216,2021-11-26 17:42:44.362000+00:00,15.667724609375,2021-11-26 17:42:44.362000+00:00,0.6591796875,2021-11-26 17:42:44.362000+00:00,0.2685546875,2021-11-26 17:42:44.362000+00:00,0.225830078125,2021-11-26 17:42:44.362000+00:00,-0.08544921875,2021-11-26 17:42:44.362000+00:00,2.2552490234375,2021-11-26 17:42:44.362000+00:00,1.5655517578125,2021-11-26 17:42:44.362000+00:00,-0.048828125,2021-11-26 17:42:44.362000+00:00,0.3509521484375,2021-11-26 17:42:44.362000+00:00,0.006103515625,2021-11-26 17:42:44.362000+00:00,2.1484375,2021-11-26 17:42:44.362000+00:00,0.18310546875,2021-11-26 17:42:44.362000+00:00,1.3427734375,2021-11-26 17:42:44.362000+00:00,0.76904296875,2021-11-26 17:42:44.362000+00:00,0.0579833984375,2021-11-26 17:42:44.362000+00:00,0.146484375,2021-11-26 17:42:44.362000+00:00,0.244140625,2021-11-26 17:42:44.362000+00:00,0.0244140625,2021-11-26 17:42:44.362000+00:00,-0.08544921875,2021-11-26 17:42:44.362000+00:00,0.10986328125,2021-11-26 17:42:44.362000+00:00,0.3387451171875,2021-11-26 17:42:44.362000+00:00,0.69580078125,2021-11-26 17:42:44.362000+00:00,0.054931640625,2021-11-26 17:42:44.362000+00:00,0.274658203125,2021-11-26 17:42:44.362000+00:00,0.2349853515625,2021-11-26 17:42:44.362000+00:00,0.59814453125,2021-11-26 17:42:44.362000+00:00,0.3997802734375,2021-11-26 17:42:44.362000+00:00,0.1983642578125,2021-11-26 17:42:44.362000+00:00,0.0640869140625,2021-11-26 17:42:44.362000+00:00,0.1861572265625,2021-11-26 17:42:44.362000+00:00,-32.29999542236328,2021-11-26 17:42:44.363000+00:00
33,165.63720703125,2021-11-26 17:42:44.429000+00:00,24.224862027092744,2021-11-26 17:42:44.429000+00:00,25.27762575054749,2021-11-26 17:42:44.429000+00:00,24.70371122221124,2021-11-26 17:42:44.429000+00:00,225.6968994140625,2021-11-26 17:42:44.429000+00:00,26.49358524776001,2021-11-26 17:42:44.429000+00:00,15.88134765625,2021-11-26 17:42:44.429000+00:00,0.5950927734375,2021-11-26 17:42:44.429000+00:00,0.2532958984375,2021-11-26 17:42:44.429000+00:00,-0.0030517578125,2021-11-26 17:42:44.429000+00:00,0.0,2021-11-26 17:42:44.429000+00:00,2.34375,2021-11-26 17:42:44.429000+00:00,1.507568359375,2021-11-26 17:42:44.429000+00:00,-0.0274658203125,2021-11-26 17:42:44.429000+00:00,0.335693359375,2021-11-26 17:42:44.429000+00:00,0.06103515625,2021-11-26 17:42:44.429000+00:00,1.9256591796875,2021-11-26 17:42:44.429000+00:00,0.299072265625,2021-11-26 17:42:44.429000+00:00,1.7669677734375,2021-11-26 17:42:44.429000+00:00,0.604248046875,2021-11-26 17:42:44.429000+00:00,0.048828125,2021-11-26 17:42:44.429000+00:00,0.2960205078125,2021-11-26 17:42:44.429000+00:00,0.6256103515625,2021-11-26 17:42:44.429000+00:00,0.0518798828125,2021-11-26 17:42:44.429000+00:00,0.0396728515625,2021-11-26 17:42:44.429000+00:00,0.0152587890625,2021-11-26 17:42:44.429000+00:00,0.4608154296875,2021-11-26 17:42:44.429000+00:00,0.69580078125,2021-11-26 17:42:44.429000+00:00,-0.018310546875,2021-11-26 17:42:44.429000+00:00,0.0,2021-11-26 17:42:44.429000+00:00,0.2960205078125,2021-11-26 17:42:44.429000+00:00,0.4547119140625,2021-11-26 17:42:44.429000+00:00,0.6591796875,2021-11-26 17:42:44.429000+00:00,0.152587890625,2021-11-26 17:42:44.429000+00:00,0.08544921875,2021-11-26 17:42:44.429000+00:00,0.3082275390625,2021-11-26 17:42:44.429000+00:00,-32.29999542236328,2021-11-26 17:42:44.429000+00:00
34,165.63720703125,2021-11-26 17:42:44.495000+00:00,24.01526760955426,2021-11-26 17:42:44.495000+00:00,25.067988838789677,2021-11-26 17:42:44.495000+00:00,24.48419772536316,2021-11-26 17:42:44.495000+00:00,225.58758544921875,2021-11-26 17:42:44.495000+00:00,26.315713120654905,2021-11-26 17:42:44.495000+00:00,13.43994140625,2021-11-26 17:42:44.495000+00:00,0.4913330078125,2021-11-26 17:42:44.495000+00:00,0.4241943359375,2021-11-26 17:42:44.495000+00:00,0.115966796875,2021-11-26 17:42:44.495000+00:00,-0.1861572265625,2021-11-26 17:42:44.495000+00:00,2.2247314453125,2021-11-26 17:42:44.495000+00:00,1.4312744140625,2021-11-26 17:42:44.495000+00:00,-0.146484375,2021-11-26 17:42:44.495000+00:00,0.72021484375,2021-11-26 17:42:44.495000+00:00,0.054931640625,2021-11-26 17:42:44.495000+00:00,1.28173828125,2021-11-26 17:42:44.495000+00:00,0.4486083984375,2021-11-26 17:42:44.495000+00:00,1.03759765625,2021-11-26 17:42:44.495000+00:00,0.5126953125,2021-11-26 17:42:44.495000+00:00,-0.0030517578125,2021-11-26 17:42:44.495000+00:00,0.2227783203125,2021-11-26 17:42:44.495000+00:00,0.23193359375,2021-11-26 17:42:44.495000+00:00,0.0,2021-11-26 17:42:44.495000+00:00,-0.0244140625,2021-11-26 17:42:44.495000+00:00,0.10986328125,2021-11-26 17:42:44.495000+00:00,0.5706787109375,2021-11-26 17:42:44.495000+00:00,0.8575439453125,2021-11-26 17:42:44.495000+00:00,-0.0640869140625,2021-11-26 17:42:44.495000+00:00,-0.03662109375,2021-11-26 17:42:44.495000+00:00,0.335693359375,2021-11-26 17:42:44.495000+00:00,0.47607421875,2021-11-26 17:42:44.495000+00:00,0.4058837890625,2021-11-26 17:42:44.495000+00:00,0.152587890625,2021-11-26 17:42:44.495000+00:00,-0.054931640625,2021-11-26 17:42:44.495000+00:00,0.2471923828125,2021-11-26 17:42:44.495000+00:00,-32.29999542236328,2021-11-26 17:42:44.496000+00:00
35,165.63720703125,2021-11-26 17:42:44.562000+00:00,24.230937227601107,2021-11-26 17:42:44.562000+00:00,25.29072805753235,2021-11-26 17:42:44.562000+00:00,24.749763004766784,2021-11-26 17:42:44.562000+00:00,225.478271484375,2021-11-26 17:42:44.562000+00:00,26.596563847662964,2021-11-26 17:42:44.562000+00:00,14.88037109375,2021-11-26 17:42:44.562000+00:00,0.543212890625,2021-11-26 17:42:44.562000+00:00,0.2838134765625,2021-11-26 17:42:44.562000+00:00,-0.048828125,2021-11-26 17:42:44.562000+00:00,-0.1434326171875,2021-11-26 17:42:44.562000+00:00,2.2369384765625,2021-11-26 17:42:44.562000+00:00,1.678466796875,2021-11-26 17:42:44.562000+00:00,-0.01220703125,2021-11-26 17:42:44.562000+00:00,0.323486328125,2021-11-26 17:42:44.562000+00:00,0.10986328125,2021-11-26 17:42:44.562000+00:00,1.6845703125,2021-11-26 17:42:44.562000+00:00,0.164794921875,2021-11-26 17:42:44.562000+00:00,1.373291015625,2021-11-26 17:42:44.562000+00:00,0.885009765625,2021-11-26 17:42:44.562000+00:00,0.1617431640625,2021-11-26 17:42:44.562000+00:00,0.18310546875,2021-11-26 17:42:44.562000+00:00,0.32958984375,2021-11-26 17:42:44.562000+00:00,0.0823974609375,2021-11-26 17:42:44.562000+00:00,0.2227783203125,2021-11-26 17:42:44.562000+00:00,0.140380859375,2021-11-26 17:42:44.562000+00:00,0.4486083984375,2021-11-26 17:42:44.562000+00:00,0.6561279296875,2021-11-26 17:42:44.562000+00:00,-0.006103515625,2021-11-26 17:42:44.562000+00:00,0.067138671875,2021-11-26 17:42:44.562000+00:00,0.311279296875,2021-11-26 17:42:44.562000+00:00,0.4364013671875,2021-11-26 17:42:44.562000+00:00,0.3021240234375,2021-11-26 17:42:44.562000+00:00,-0.018310546875,2021-11-26 17:42:44.562000+00:00,0.03662109375,2021-11-26 17:42:44.562000+00:00,0.1617431640625,2021-11-26 17:42:44.562000+00:00,-32.29999542236328,2021-11-26 17:42:44.562000+00:00
36,165.63720703125,2021-11-26 17:42:44.629000+00:00,23.92110200167465,2021-11-26 17:42:44.629000+00:00,24.97299711314941,2021-11-26 17:42:44.629000+00:00,24.37827862548541,2021-11-26 17:42:44.629000+00:00,225.36895751953125,2021-11-26 17:42:44.629000+00:00,26.228337338919065,2021-11-26 17:42:44.629000+00:00,13.531494140625,2021-11-26 17:42:44.629000+00:00,0.3509521484375,2021-11-26 17:42:44.629000+00:00,0.3662109375,2021-11-26 17:42:44.629000+00:00,-0.469970703125,2021-11-26 17:42:44.629000+00:00,-0.1251220703125,2021-11-26 17:42:44.629000+00:00,2.1820068359375,2021-11-26 17:42:44.629000+00:00,1.3214111328125,2021-11-26 17:42:44.629000+00:00,-0.03662109375,2021-11-26 17:42:44.629000+00:00,0.35400390625,2021-11-26 17:42:44.629000+00:00,0.2471923828125,2021-11-26 17:42:44.629000+00:00,1.4678955078125,2021-11-26 17:42:44.629000+00:00,0.1556396484375,2021-11-26 17:42:44.629000+00:00,1.4984130859375,2021-11-26 17:42:44.629000+00:00,0.69580078125,2021-11-26 17:42:44.629000+00:00,0.1068115234375,2021-11-26 17:42:44.629000+00:00,0.1556396484375,2021-11-26 17:42:44.629000+00:00,0.68359375,2021-11-26 17:42:44.629000+00:00,-0.067138671875,2021-11-26 17:42:44.629000+00:00,-0.1678466796875,2021-11-26 17:42:44.629000+00:00,0.115966796875,2021-11-26 17:42:44.629000+00:00,0.3448486328125,2021-11-26 17:42:44.629000+00:00,0.5645751953125,2021-11-26 17:42:44.629000+00:00,0.079345703125,2021-11-26 17:42:44.629000+00:00,-0.0640869140625,2021-11-26 17:42:44.629000+00:00,0.518798828125,2021-11-26 17:42:44.629000+00:00,0.5645751953125,2021-11-26 17:42:44.629000+00:00,0.3143310546875,2021-11-26 17:42:44.629000+00:00,0.1434326171875,2021-11-26 17:42:44.629000+00:00,0.0274658203125,2021-11-26 17:42:44.629000+00:00,0.1617431640625,2021-11-26 17:42:44.629000+00:00,-32.29999542236328,2021-11-26 17:42:44.629000+00:00
37,165.63720703125,2021-11-26 17:42:44.695000+00:00,24.43749404488541,2021-11-26 17:42:44.695000+00:00,25.487262662305294,2021-11-26 17:42:44.695000+00:00,24.961601204522275,2021-11-26 17:42:44.695000+00:00,225.2596435546875,2021-11-26 17:42:44.695000+00:00,26.84932950197021,2021-11-26 17:42:44.695000+00:00,15.41748046875,2021-11-26 17:42:44.695000+00:00,0.5828857421875,2021-11-26 17:42:44.695000+00:00,0.3631591796875,2021-11-26 17:42:44.695000+00:00,0.0335693359375,2021-11-26 17:42:44.695000+00:00,-0.13427734375,2021-11-26 17:42:44.695000+00:00,2.1820068359375,2021-11-26 17:42:44.695000+00:00,1.300048828125,2021-11-26 17:42:44.695000+00:00,-0.03662109375,2021-11-26 17:42:44.695000+00:00,0.2288818359375,2021-11-26 17:42:44.695000+00:00,0.0701904296875,2021-11-26 17:42:44.695000+00:00,2.25830078125,2021-11-26 17:42:44.695000+00:00,0.3143310546875,2021-11-26 17:42:44.695000+00:00,1.23291015625,2021-11-26 17:42:44.695000+00:00,0.799560546875,2021-11-26 17:42:44.695000+00:00,-0.067138671875,2021-11-26 17:42:44.695000+00:00,0.1861572265625,2021-11-26 17:42:44.695000+00:00,0.3265380859375,2021-11-26 17:42:44.695000+00:00,0.030517578125,2021-11-26 17:42:44.695000+00:00,-0.09765625,2021-11-26 17:42:44.695000+00:00,0.06103515625,2021-11-26 17:42:44.695000+00:00,0.7293701171875,2021-11-26 17:42:44.695000+00:00,0.7781982421875,2021-11-26 17:42:44.695000+00:00,-0.0091552734375,2021-11-26 17:42:44.695000+00:00,-0.0457763671875,2021-11-26 17:42:44.695000+00:00,0.2899169921875,2021-11-26 17:42:44.695000+00:00,0.4608154296875,2021-11-26 17:42:44.695000+00:00,0.3143310546875,2021-11-26 17:42:44.695000+00:00,0.3631591796875,2021-11-26 17:42:44.695000+00:00,0.1373291015625,2021-11-26 17:42:44.695000+00:00,0.1129150390625,2021-11-26 17:42:44.695000+00:00,-32.29999542236328,2021-11-26 17:42:44.696000+00:00
38,165.63720703125,2021-11-26 17:42:44.762000+00:00,24.136771619721497,2021-11-26 17:42:44.762000+00:00,25.120398066729127,2021-11-26 17:42:44.762000+00:00,24.53792480501129,2021-11-26 17:42:44.762000+00:00,225.15032958984372,2021-11-26 17:42:44.762000+00:00,,,13.690185546875,2021-11-26 17:42:44.762000+00:00,0.5950927734375,2021-11-26 17:42:44.762000+00:00,0.3021240234375,2021-11-26 17:42:44.762000+00:00,-0.1861572265625,2021-11-26 17:42:44.762000+00:00,0.067138671875,2021-11-26 17:42:44.762000+00:00,1.971435546875,2021-11-26 17:42:44.762000+00:00,1.7608642578125,2021-11-26 17:42:44.762000+00:00,0.0885009765625,2021-11-26 17:42:44.762000+00:00,0.482177734375,2021-11-26 17:42:44.762000+00:00,-0.0274658203125,2021-11-26 17:42:44.762000+00:00,1.1993408203125,2021-11-26 17:42:44.762000+00:00,0.29296875,2021-11-26 17:42:44.762000+00:00,1.416015625,2021-11-26 17:42:44.762000+00:00,0.665283203125,2021-11-26 17:42:44.762000+00:00,0.0,2021-11-26 17:42:44.762000+00:00,0.18310546875,2021-11-26 17:42:44.762000+00:00,0.2655029296875,2021-11-26 17:42:44.762000+00:00,-0.0335693359375,2021-11-26 17:42:44.762000+00:00,0.1068115234375,2021-11-26 17:42:44.762000+00:00,-0.0885009765625,2021-11-26 17:42:44.762000+00:00,0.5279541015625,2021-11-26 17:42:44.762000+00:00,0.445556640625,2021-11-26 17:42:44.762000+00:00,-0.0946044921875,2021-11-26 17:42:44.762000+00:00,0.0701904296875,2021-11-26 17:42:44.762000+00:00,0.225830078125,2021-11-26 17:42:44.762000+00:00,0.4913330078125,2021-11-26 17:42:44.762000+00:00,0.40283203125,2021-11-26 17:42:44.762000+00:00,0.1190185546875,2021-11-26 17:42:44.762000+00:00,0.1861572265625,2021-11-26 17:42:44.762000+00:00,0.2044677734375,2021-11-26 17:42:44.762000+00:00,,
